iterations,median_betweeness_centrality,num_opinions,median_pagerank,median_vertex_degree
229,0.019649186096554517,[2],0.049612520870348106,12.0
700,0.01684780456710281,[2],0.04937015644976107,13.0
103,0.016733015197927477,[2],0.04961489177468899,13.0
700,0.017694172299435457,[2],0.05064134775522856,13.0
169,0.014738299387422193,[2],0.04997281959292875,13.0
153,0.01634096897254792,[2],0.04947273844778128,13.0
700,0.014682077182077181,[2],0.04969513610995298,14.0
700,0.015462291120185857,[1],0.05030339690007374,14.0
700,0.012388772695790237,[2],0.04827759447100392,14.0
117,0.016666983114351535,[2],0.04875493452409757,12.5
700,0.016532176400597454,[2],0.05130479677301237,14.0
111,0.017766703731616013,[2],0.04961789231186576,12.5
700,0.020898310591293046,[1],0.04767528304777942,10.0
109,0.016426271908728047,[2],0.04920037163594516,13.0
700,0.01821166974675746,[2],0.050056443295993555,13.0
700,0.012452443592794469,[1],0.05027124656508655,14.5
100,0.015400226803735574,[2],0.0496946925543868,13.5
90,0.0168841311385171,[2],0.04971065181205456,13.0
700,0.017183425736057314,[2],0.05246762791481682,14.0
100,0.017346639715060765,[2],0.048655320042944,12.0
96,0.015072086782613098,[2],0.04813865700329378,13.0
700,0.01691732568925551,[2],0.04826826223672109,12.0
700,0.01570023543707754,[1],0.05147256643076946,14.0
164,0.016322647462998337,[2],0.05143646841746752,14.0
700,0.01334950213949182,[1],0.048488737946697856,13.5
138,0.016044384465437097,[2],0.04903318550040578,13.0
700,0.020001497852375046,[1],0.05014507493318242,12.0
251,0.016375429314025806,[2],0.049646518351697866,13.0
700,0.014601204513485216,[2],0.05055890320509043,13.5
700,0.015692007797270955,[2],0.04857409092883179,13.0
164,0.012384585849498128,[2],0.04943250878452103,14.5
143,0.015923882809847724,[2],0.051764416885828196,14.0
214,0.015305617060003024,[2],0.048973658235280694,13.0
80,0.01838419864735654,[2],0.05012475636275996,13.0
124,0.0175604204112976,[2],0.05083205962007874,13.0
114,0.01777507742420023,[2],0.050968836470991596,12.5
139,0.016919435340487975,[2],0.05107518377637259,14.0
113,0.017524767305469056,[2],0.050957743659499816,13.0
132,0.015104047998784838,[2],0.04953915103617647,13.0
700,0.01524437226191612,[1],0.04903227955818125,13.0
700,0.016227396709852848,[2],0.05153667264102516,14.0
145,0.014948558588909462,[2],0.05018187355928675,14.0
147,0.015257135651872493,[2],0.051206804363748804,13.5
101,0.017068977156696453,[2],0.049990522380504165,13.0
700,0.017336269967848913,[2],0.04737496284353181,11.5
700,0.015979975190501504,[1],0.050407311241698616,13.0
98,0.018921802693732514,[2],0.05261583719892299,14.0
139,0.018728842632351403,[2],0.0503703902575281,13.0
98,0.01412976237537641,[2],0.05054761274655961,14.0
148,0.01835859884105498,[2],0.05225934847463748,13.5
700,0.015388745432605083,[1],0.050327488727447384,13.5
110,0.015984113352534402,[2],0.04998616096301921,13.0
700,0.013060307139254507,[1],0.04989818925149331,14.0
150,0.019781282719879206,[2],0.04914769075801058,12.0
141,0.014974304447988656,[2],0.049244609635119195,13.0
700,0.013753798183622743,[2],0.050805106384245596,14.0
700,0.014824194648756051,[2],0.048454808002782804,13.0
700,0.016544858650121806,[1],0.05123071999697747,14.0
374,0.01629553844466125,[2],0.04985954162418609,13.0
115,0.017017818114309344,[2],0.04989389987660509,13.0
112,0.016783078844482352,[2],0.052466269470880816,14.0
304,0.016596163745286552,[2],0.04967693664347992,13.0
87,0.014758933399284274,[2],0.05021085734946351,13.0
127,0.017663687839126432,[2],0.05201492002725444,13.5
560,0.013618569539622169,[2],0.04926455370012335,14.0
700,0.01634110691128235,[2],0.050196564789063564,13.0
441,0.014370189589487832,[2],0.05123454319854962,14.5
125,0.017687104967806726,[2],0.04967838879805067,13.0
83,0.012141789334771792,[2],0.05107184109384732,15.0
101,0.015189188654100932,[2],0.050047137966731804,14.0
700,0.017267000381035468,[1],0.04993789526838278,13.0
700,0.016103316761211496,[1],0.05083401449438839,14.0
98,0.014821135654468987,[2],0.050853089988682224,14.0
700,0.015277307163272077,[1],0.0493985314473805,13.5
107,0.01542833384938648,[2],0.05034940009003634,14.0
279,0.01480696853503871,[2],0.04872709412655043,13.0
115,0.01511311949908441,[2],0.04813522280295295,12.0
131,0.015797660753801103,[2],0.05029820566703027,13.5
700,0.015291441826529544,[2],0.04890308055403625,13.0
700,0.017508944921225622,[2],0.05040524089462056,13.0
109,0.016658641877940125,[2],0.048508415743922756,13.0
140,0.019072407449600433,[2],0.05068720429314677,12.5
125,0.012697349758753265,[2],0.04911902239808656,14.0
700,0.015754347991190097,[1],0.05054875818345475,13.0
139,0.013762439639632619,[2],0.05171449582327485,15.0
206,0.01459249003108652,[2],0.04945432807791382,14.0
700,0.017288064437187244,[1],0.049040718690504456,13.0
149,0.015724423399861995,[2],0.050886509734321544,13.5
700,0.01883091729582958,[2],0.051197248748630256,13.0
670,0.014753448306079884,[2],0.05266752914842748,15.0
700,0.016058381189960134,[2],0.049958089952692256,13.0
117,0.01100577460226583,[2],0.04969844844202302,15.0
97,0.01355351114123044,[2],0.049656296185397394,13.0
153,0.016868771254736167,[2],0.051528384524920465,14.0
92,0.014823139823139823,[2],0.049398198056484655,13.5
109,0.016517303359408625,[2],0.05025805264903904,12.0
700,0.013874251154952907,[1],0.050454524669016884,14.0
152,0.016735400726628793,[2],0.0493427334163902,13.0
151,0.016402497762146886,[2],0.048993427452740594,13.0
700,0.015172993023870214,[2],0.05201371465630516,14.5
700,0.017246325798957376,[1],0.050920087115684534,13.5
700,0.01310542933349951,[2],0.04943059489212434,14.0
700,0.020231238871589743,[2],0.05103037329720085,12.5
112,0.015583393214972163,[2],0.0502859939329789,13.5
700,0.014308904221184922,[1],0.05007785484216379,14.0
700,0.01818213462950305,[2],0.04818680104224671,11.5
92,0.01652622880693056,[2],0.05010686009412696,13.0
700,0.017438799017746386,[1],0.04933975195166575,12.5
700,0.014976925283942826,[2],0.050413829763787235,14.0
96,0.01321887988554655,[2],0.0508783156685592,15.0
115,0.015535009175360052,[2],0.05098637903487545,13.5
97,0.017710797973955868,[2],0.050597119348756034,13.0
94,0.015695691572884553,[2],0.04902959322246432,13.0
119,0.013644729214904653,[2],0.049932116798007214,14.0
508,0.013223894364245238,[2],0.04912679350347814,14.0
403,0.016265776134197184,[2],0.05126696357508809,14.0
